종목코드	종목명
005930	삼성전자
000660	SK하이닉스
373220	LG에너지솔루션
005380	현대차
402340	SK스퀘어
034020	두산에너빌리티
012450	한화에어로스페이스
207940	삼성바이오로직스
329180	HD현대중공업
009150	삼성전기
000270	기아
105560	KB금융
006400	삼성SDI
028260	삼성물산
032830	삼성생명
055550	신한지주
267260	HD현대일렉트릭
068270	셀트리온
010120	LS ELECTRIC
042660	한화오션
012330	현대모비스
298040	효성중공업
006800	미래에셋증권
005490	POSCO홀딩스
010130	고려아연
035420	NAVER
086790	하나금융지주
042700	한미반도체
009540	HD한국조선해양
034730	SK
010140	삼성중공업
015760	한국전력
051910	LG화학
000150	두산
064350	현대로템
316140	우리금융지주
066570	LG전자
003670	포스코퓨처엠
096770	SK이노베이션
267250	HD현대
272210	한화시스템
035720	카카오
000810	삼성화재
017670	SK텔레콤
079550	LIG디펜스앤에어로스페이스
033780	KT&G
011200	HMM
000720	현대건설
138040	메리츠금융지주
086280	현대글로비스
024110	기업은행
047810	한국항공우주
278470	에이피알
003550	LG
030200	KT
071050	한국금융지주
047040	대우건설
047050	포스코인터내셔널
0126Z0	삼성에피스홀딩스
011070	LG이노텍
006260	LS
259960	크래프톤
018260	삼성에스디에스
010950	S-Oil
005940	NH투자증권
307950	현대오토에버
443060	HD현대마린솔루션
323410	카카오뱅크
039490	키움증권
007660	이수페타시스
005830	DB손해보험
028050	삼성E&A
352820	하이브
016360	삼성증권
003230	삼양식품
003490	대한항공
009830	한화솔루션
000880	한화
090430	아모레퍼시픽
001440	대한전선
066970	엘앤에프
326030	SK바이오팜
078930	GS
052690	한전기술
000100	유한양행
161390	한국타이어앤테크놀로지
180640	한진칼
241560	두산밥캣
377300	카카오페이
082740	한화엔진
062040	산일전기
032640	LG유플러스
010060	OCI홀딩스
454910	두산로보틱스
034220	LG디스플레이
064400	LG씨엔에스
128940	한미약품
001040	CJ
029780	삼성카드
138930	BNK금융지주
036570	NC
450080	에코프로머티
004020	현대제철
021240	코웨이
271560	오리온
022100	포스코DX
175330	JB금융지주
002380	KCC
088350	한화생명
011790	SKC
018880	한온시스템
004170	신세계
011170	롯데케미칼
017800	현대엘리베이터
023530	롯데쇼핑
051900	LG생활건강
251270	넷마블
375500	DL이앤씨
457190	이수스페셜티케미컬
006360	GS건설
011780	금호석유화학
012750	에스원
014680	한솔케미칼
302440	SK바이오사이언스
036460	한국가스공사
071970	HD현대마린엔진
097950	CJ제일제당
111770	영원무역
035250	강원랜드
004990	롯데지주
005850	에스엘
009970	영원무역홀딩스
028670	팬오션
139480	이마트
103140	풍산
112610	씨에스윈드
120110	코오롱인더
139130	iM금융지주
051600	한전KPS
000120	CJ대한통운
383220	F&F
001430	세아베스틸지주
001450	현대해상
002790	아모레퍼시픽홀딩스
004370	농심
007340	DN오토모티브
008770	호텔신라
008930	한미사이언스
009420	한올바이오파마
011210	현대위아
017960	한국카본
026960	동서
030000	제일기획
069960	현대백화점
192820	코스맥스
204320	HL만도
282330	BGF리테일
298020	효성티앤씨
361610	SK아이이테크놀로지
000240	한국앤컴퍼니
007070	GS리테일
161890	한국콜마
081660	미스토홀딩스
073240	금호타이어
000210	DL
001800	오리온홀딩스
003090	대웅
003240	태광산업
004000	롯데정밀화학
006040	동원산업
300720	한일시멘트
007310	오뚜기
034230	파라다이스
069620	대웅제약
093370	후성
192080	더블유게임즈
006280	녹십자
000080	하이트진로
298050	HS효성첨단소재
003030	세아제강지주
004490	세방전지
005300	롯데칠성
006650	대한유화
009240	한샘
014820	동원시스템즈
069260	TKG휴켐스
071320	지역난방공사
137310	에스디바이오센서
185750	종근당
280360	롯데웰푸드
285130	SK케미칼
000670	영풍
001680	대상
002030	아세아
002840	미원상사
268280	미원에스씨
005420	코스모화학
008730	율촌화학
114090	GKL
005250	녹십자홀딩스
